subject,date,time,stage
105,12/3/2020,10:43:43,1
102,12/7/2020,14:20:45,1
108,12/7/2020,17:04:52,1
109,12/10/2020,14:35:44,1
107,12/14/2020,15:20:46,1
112,12/16/2020,11:13:10,1
114,12/22/2020,14:11:24,1
103,12/23/2020,14:18:27,1
106,12/23/2020,18:06:58,1
113,12/28/2020,11:14:58,1
111,12/28/2020,16:15:20,1
104,1/7/2021,15:08:34,1
116,1/14/2021,11:12:53,1
110,1/14/2021,17:45:05,1
121,1/22/2021,17:50:15,1
119,1/25/2021,19:37:14,1
123,1/29/2021,17:00:53,1
124,2/8/2021,12:17:53,1
125,2/11/2021,17:56:49,1
126,2/15/2021,17:37:03,1
127,2/24/2021,17:53:46,1
128,3/4/2021,10:36:25,1
129,3/5/2021,17:55:54,1
133,3/15/2021,11:55:12,1
130,3/15/2021,16:50:21,1
142,3/22/2021,11:56:51,1
135,3/22/2021,14:55:10,1
136,3/22/2021,17:47:39,1
137,3/23/2021,14:45:17,1
138,3/23/2021,17:42:10,1
140,3/26/2021,14:04:25,1
139,3/26/2021,16:39:03,1
144,3/29/2021,17:47:22,1
143,3/30/2021,11:42:31,1
141,3/30/2021,17:45:57,1
134,4/6/2021,18:15:38,1
147,4/7/2021,12:02:32,1
151,4/12/2021,14:00:00,1
149,4/12/2021,17:49:18,1
149,4/12/2021,17:57:36,1
153,4/13/2021,15:00:00,1
153,4/13/2021,15:06:59,1
155,4/19/2021,11:16:31,1
150,4/19/2021,16:23:14,1
152,4/20/2021,13:22:02,1
156,4/22/2021,16:58:25,1
158,4/26/2021,11:13:35,1
159,4/26/2021,13:59:17,1
166,4/26/2021,16:44:08,1
165,4/27/2021,10:47:27,1
160,4/27/2021,16:52:37,1
164,4/30/2021,16:14:08,1
7777,8/10/2021,15:43:47,2
71,8/26/2021,9:57:47,2
67,8/26/2021,14:13:52,2
70,8/26/2021,16:28:06,2
73,8/27/2021,10:08:09,2
169,8/27/2021,12:28:07,2
172,8/30/2021,16:37:18,2
174,8/31/2021,10:33:17,2
185,9/8/2021,11:13:23,3
187,9/9/2021,10:34:49,3
117,9/9/2021,13:03:02,3
179,9/14/2021,10:31:10,3
184,9/23/2021,9:57:55,3
188,9/23/2021,12:11:08,3
120,9/23/2021,16:27:05,3
176,9/24/2021,9:45:18,3
182,9/24/2021,14:29:12,3
190,9/29/2021,17:15:51,3
191,9/30/2021,10:21:01,3
132,9/30/2021,12:38:11,3
203,9/30/2021,15:38:17,3
200,10/1/2021,10:33:42,3
194,10/1/2021,12:49:50,3
195,10/1/2021,14:41:29,3
207,10/7/2021,10:00:22,3
202,10/7/2021,14:31:21,3
211,10/8/2021,12:08:11,3
205,10/8/2021,14:37:50,3
208,10/14/2021,11:10:28,3
219,10/14/2021,12:58:15,3
210,10/14/2021,15:24:56,3
222,10/20/2021,12:13:38,4
215,10/20/2021,14:25:35,4
218,10/21/2021,12:26:29,4
221,10/21/2021,14:58:40,4
217,10/25/2021,10:01:04,4
224,10/25/2021,12:19:30,4
213,10/25/2021,14:11:01,4
227,10/25/2021,16:29:04,4
229,10/26/2021,9:53:34,4
225,10/26/2021,11:55:05,4
226,10/26/2021,14:21:21,4
230,10/26/2021,16:44:43,4
223,11/1/2021,11:56:07,4
198,11/1/2021,14:21:07,4
228,11/1/2021,16:29:17,4
231,11/2/2021,9:51:46,4
145,11/2/2021,12:13:56,4
214,11/2/2021,16:33:55,4
237,11/8/2021,9:55:07,4
239,11/8/2021,11:50:00,4
235,11/8/2021,13:57:39,4
240,11/8/2021,16:18:50,4
234,11/9/2021,9:54:07,4
242,11/9/2021,11:52:03,4
243,11/9/2021,16:32:06,4
244,11/15/2021,11:53:07,4
241,11/15/2021,16:09:34,4
199,11/16/2021,9:52:15,4
245,11/16/2021,11:55:33,4
233,11/16/2021,16:27:40,4
247,11/23/2021,11:53:53,4
248,11/29/2021,16:15:54,4
252,12/6/2021,9:54:18,4
257,12/13/2021,10:04:35,4
256,12/13/2021,11:56:11,4
255,12/13/2021,14:23:35,4
251,12/13/2021,16:28:55,4
264,1/3/2022,11:55:47,4
263,1/4/2022,12:00:30,4
269,1/4/2022,14:20:58,4
266,1/4/2022,16:14:22,4
249,1/11/2022,9:55:52,4
271,1/11/2022,11:57:28,4
272,1/11/2022,14:34:33,4
267,1/17/2022,14:22:25,4
281,1/18/2022,9:52:02,4
285,1/24/2022,16:12:49,4
280,1/25/2022,10:00:14,4
284,1/25/2022,16:28:30,4
292,2/1/2022,14:21:04,4
290,2/7/2022,14:15:21,4
293,2/7/2022,16:18:23,4
297,2/8/2022,9:56:19,4
296,2/8/2022,12:00:22,4
298,2/8/2022,16:21:29,4
294,2/14/2022,9:56:00,4
304,2/14/2022,12:06:28,4
305,2/14/2022,16:30:48,4
312,2/21/2022,16:30:50,4
295,2/22/2022,10:00:00,4
310,2/22/2022,12:49:38,4
291,3/10/2022,14:24:09,4
