Vp Diff_P78_NA Diff_P78_AN Diff_P78_NA_Odd Diff_P78_NA_Even Diff_P78_AN_Odd Diff_P78_AN_Even
102_Dot_Probe_Block1 -2.398818 2.072618 -3.302912 -1.494726 1.580202 2.565035
103_Dot_Probe_Block1 -1.411599 0.125719 -2.678769 -0.144429 0.524204 -0.272765
105_Dot_Probe_Block1 0.992159 -1.685443 1.370736 0.613582 -1.520257 -1.850633
106_Dot_Probe_Block1 -5.250805 2.094437 -4.101337 -6.435104 2.110593 2.077832
107_Dot_Probe_Block1 -1.298367 0.093115 -1.179934 -1.419168 0.082875 0.103355
108_Dot_Probe_Block1 -3.188150 2.406012 -3.406834 -2.969468 2.723888 2.088137
109_Dot_Probe_Block1 -2.241265 1.252250 -2.908011 -1.574519 0.626213 1.878286
110_Dot_Probe_Block1 -2.208669 -0.114673 -0.084027 -4.425688 2.948980 -3.178327
112_Dot_Probe_Block1 -1.772736 1.871630 -2.396544 -1.148931 1.751176 1.992085
113_Dot_Probe_Block1 1.070862 -2.746646 2.073906 0.067820 -3.563062 -1.930231
114_Dot_Probe_Block1 0.220228 -1.176991 -0.621389 1.083426 -1.314697 -1.039286
116_Dot_Probe_Block1 -0.299616 -0.649682 0.354077 -0.972534 -0.748878 -0.550484
119_Dot_Probe_Block1 1.527473 -1.443486 0.621813 2.433131 -0.538720 -2.348251
121_Dot_Probe_Block1 -2.302851 0.976548 -3.409436 -1.196268 1.122157 0.827003
123_Dot_Probe_Block1 -3.319130 2.264895 -3.594875 -3.043388 1.565271 2.982931
124_Dot_Probe_Block1 1.441880 6.743985 -0.195025 3.624424 9.489501 3.083300
125_Dot_Probe_Block1 -4.952938 5.599045 -5.173566 -4.732315 5.907859 5.290225
126_Dot_Probe_Block1 -13.107423 -5.344276 -13.107423 0.000000 0.657969 -11.346520
127_Dot_Probe_Block1 0.533350 -2.287083 1.197018 -0.130319 -2.057817 -2.516349
128_Dot_Probe_Block1 3.163567 -4.708482 4.073497 2.253635 -2.029984 -7.386977
129_Dot_Probe_Block1 -4.150164 4.833765 -3.567035 -4.733294 4.824813 4.843278
130_Dot_Probe_Block1 1.882678 -1.698376 2.528796 1.236560 -1.699430 -1.697322
133_Dot_Probe_Block1 -1.252622 1.966583 -1.815264 -0.674774 2.024288 1.907229
134_Dot_Probe_Block1 0.990867 -0.769706 0.714498 1.267235 -0.114599 -1.453295
135_Dot_Probe_Block1 -1.158378 -1.185602 -2.540164 0.304690 -0.113871 -2.320375
136_Dot_Probe_Block1 -1.124865 -1.900252 -0.243001 -2.006730 -1.995587 -1.801840
137_Dot_Probe_Block1 -1.363163 0.666553 -0.203560 -2.564181 0.753696 0.579411
138_Dot_Probe_Block1 1.706825 0.174665 0.340134 3.073515 -2.315016 2.855857
139_Dot_Probe_Block1 -0.375024 -1.127605 -0.261033 -0.499379 -0.026091 -2.229118
