Vp P7-Indiv_Ch_P78_NA P7-Indiv_Ch_P78_NA_Odd P7-Indiv_Ch_P78_NA_Even P7-Indiv_Ch_P78_AN P7-Indiv_Ch_P78_AN_Odd P7-Indiv_Ch_P78_AN_Even P8-Indiv_Ch_P78_NA P8-Indiv_Ch_P78_NA_Odd P8-Indiv_Ch_P78_NA_Even P8-Indiv_Ch_P78_AN P8-Indiv_Ch_P78_AN_Odd P8-Indiv_Ch_P78_AN_Even VEOG-Indiv_Ch_P78_NA VEOG-Indiv_Ch_P78_NA_Odd VEOG-Indiv_Ch_P78_NA_Even VEOG-Indiv_Ch_P78_AN VEOG-Indiv_Ch_P78_AN_Odd VEOG-Indiv_Ch_P78_AN_Even HEOG-Indiv_Ch_P78_NA HEOG-Indiv_Ch_P78_NA_Odd HEOG-Indiv_Ch_P78_NA_Even HEOG-Indiv_Ch_P78_AN HEOG-Indiv_Ch_P78_AN_Odd HEOG-Indiv_Ch_P78_AN_Even Ipsi_P78-Indiv_Ch_P78_NA Ipsi_P78-Indiv_Ch_P78_NA_Odd Ipsi_P78-Indiv_Ch_P78_NA_Even Ipsi_P78-Indiv_Ch_P78_AN Ipsi_P78-Indiv_Ch_P78_AN_Odd Ipsi_P78-Indiv_Ch_P78_AN_Even Contra_P78-Indiv_Ch_P78_NA Contra_P78-Indiv_Ch_P78_NA_Odd Contra_P78-Indiv_Ch_P78_NA_Even Contra_P78-Indiv_Ch_P78_AN Contra_P78-Indiv_Ch_P78_AN_Odd Contra_P78-Indiv_Ch_P78_AN_Even PO7-Indiv_Ch_P78_NA PO7-Indiv_Ch_P78_NA_Odd PO7-Indiv_Ch_P78_NA_Even PO7-Indiv_Ch_P78_AN PO7-Indiv_Ch_P78_AN_Odd PO7-Indiv_Ch_P78_AN_Even Contra_PO-Indiv_Ch_P78_NA Contra_PO-Indiv_Ch_P78_NA_Odd Contra_PO-Indiv_Ch_P78_NA_Even Contra_PO-Indiv_Ch_P78_AN Contra_PO-Indiv_Ch_P78_AN_Odd Contra_PO-Indiv_Ch_P78_AN_Even
102_Dot_Probe_Block1 2.334496 1.486322 3.182668 1.966268 2.798851 1.133686 4.733315 4.789234 4.677393 4.038887 4.379052 3.698721 -1.205504 -0.364559 -2.046443 0.751988 1.151082 0.352897 0.346655 1.153846 -0.460536 0.009764 1.636260 -1.616732 4.733315 4.789234 4.677393 1.966268 2.798851 1.133686 2.334496 1.486322 3.182668 4.038887 4.379052 3.698721 4.682464 3.880047 5.484882 4.223930 5.226336 3.221527 4.682464 3.880047 5.484882 ??? ??? ???
103_Dot_Probe_Block1 4.531196 4.869248 4.193140 6.129388 6.050230 6.208547 5.942795 7.548019 4.337569 6.255110 6.574434 5.935785 -7.465216 -6.134954 -8.795480 -4.076025 -5.274803 -2.877257 0.369345 -0.107094 0.845783 3.360371 4.354373 2.366370 5.942795 7.548019 4.337569 6.129388 6.050230 6.208547 4.531196 4.869248 4.193140 6.255110 6.574434 5.935785 5.034105 5.647744 4.420468 6.019121 6.608548 5.429693 5.034105 5.647744 4.420468 ??? ??? ???
105_Dot_Probe_Block1 3.827684 3.697083 3.958286 4.317811 3.850883 4.784742 2.835526 2.326348 3.344704 2.632368 2.330626 2.934110 -4.456718 -3.882486 -5.030999 -3.216639 -2.367047 -4.066234 -0.124312 0.027225 -0.275850 -0.369574 0.029197 -0.768346 2.835526 2.326348 3.344704 4.317811 3.850883 4.784742 3.827684 3.697083 3.958286 2.632368 2.330626 2.934110 3.768667 3.780567 3.756770 3.988432 4.197233 3.779631 3.768667 3.780567 3.756770 ??? ??? ???
106_Dot_Probe_Block1 -0.034403 1.734760 -1.857180 0.822934 0.022810 1.645285 5.216402 5.836099 4.577926 2.917371 2.133403 3.723117 0.226217 1.250664 -0.829272 0.572338 -0.399707 1.571381 -1.118260 -0.484271 -1.771461 0.636963 0.692112 0.580281 5.216402 5.836099 4.577926 0.822934 0.022810 1.645285 -0.034403 1.734760 -1.857180 2.917371 2.133403 3.723117 1.953911 3.282425 0.585140 2.991937 2.639673 3.353986 1.953911 3.282425 0.585140 ??? ??? ???
107_Dot_Probe_Block1 1.522025 1.627879 1.414055 2.329999 2.317077 2.342920 2.820391 2.807813 2.833223 2.423113 2.399953 2.446274 0.290600 1.381392 -0.822003 -2.386111 -2.707539 -2.064690 0.293162 0.821197 -0.245435 0.940001 0.959596 0.920409 2.820391 2.807813 2.833223 2.329999 2.317077 2.342920 1.522025 1.627879 1.414055 2.423113 2.399953 2.446274 1.289230 1.798875 0.769392 1.747615 1.729394 1.765836 1.289230 1.798875 0.769392 ??? ??? ???
108_Dot_Probe_Block1 5.122167 4.970007 5.274329 5.760362 5.106188 6.414538 8.310319 8.376841 8.243793 8.166374 7.830074 8.502675 1.238599 1.561383 0.915814 1.778388 1.282477 2.274299 -0.410954 -0.891507 0.069599 -0.235399 -0.443082 -0.027717 8.310319 8.376841 8.243793 5.760362 5.106188 6.414538 5.122167 4.970007 5.274329 8.166374 7.830074 8.502675 9.902879 10.031463 9.774297 10.567025 9.915605 11.218450 9.902879 10.031463 9.774297 ??? ??? ???
109_Dot_Probe_Block1 -0.313143 0.212779 -0.839066 0.331577 0.782246 -0.119091 1.928121 3.120790 0.735453 1.583827 1.408459 1.759194 -10.847372 -10.882154 -10.812615 -13.296847 -11.859060 -14.734649 -1.934037 -2.075772 -1.792302 -1.665848 -0.274681 -3.057015 1.928121 3.120790 0.735453 0.331577 0.782246 -0.119091 -0.313143 0.212779 -0.839066 1.583827 1.408459 1.759194 1.230795 1.628268 0.833324 1.905350 1.865510 1.945190 1.230795 1.628268 0.833324 ??? ??? ???
110_Dot_Probe_Block1 4.076186 4.529768 3.602882 3.974792 1.877441 6.072144 6.284855 4.613793 8.028568 3.860117 4.826422 2.893815 0.438741 -2.086409 3.073680 0.878580 2.270524 -0.513362 -0.817553 0.561661 -2.256736 0.634691 -1.433847 2.703231 6.284855 4.613793 8.028568 3.974792 1.877441 6.072144 4.076186 4.529768 3.602882 3.860117 4.826422 2.893815 5.002358 6.097320 3.859789 5.927812 4.670716 7.184906 5.002358 6.097320 3.859789 ??? ??? ???
112_Dot_Probe_Block1 2.674052 2.601254 2.746848 2.258209 2.936672 1.579746 4.446788 4.997799 3.895779 4.129840 4.687850 3.571831 -1.294544 -2.315513 -0.273580 -1.439942 -0.522896 -2.356992 -0.069134 -0.947048 0.808777 -0.300037 -0.482612 -0.117463 4.446788 4.997799 3.895779 2.258209 2.936672 1.579746 2.674052 2.601254 2.746848 4.129840 4.687850 3.571831 -0.876595 -0.961436 -0.791754 -0.723575 -0.380380 -1.066772 -0.876595 -0.961436 -0.791754 ??? ??? ???
113_Dot_Probe_Block1 5.836662 6.566768 5.106554 6.306568 7.129235 5.483900 4.765798 4.492863 5.038733 3.559921 3.566171 3.553668 2.708392 1.838484 3.578297 -0.250106 -0.555573 0.055362 -0.466996 1.660539 -2.594531 1.034723 0.083718 1.985726 4.765798 4.492863 5.038733 6.306568 7.129235 5.483900 5.836662 6.566768 5.106554 3.559921 3.566171 3.553668 6.876304 7.432274 6.320334 7.188683 8.275598 6.101772 6.876304 7.432274 6.320334 ??? ??? ???
