Vp P7-Indiv_Ch_P78_NA P7-Indiv_Ch_P78_NA_Odd P7-Indiv_Ch_P78_NA_Even P7-Indiv_Ch_P78_AN P7-Indiv_Ch_P78_AN_Odd P7-Indiv_Ch_P78_AN_Even P8-Indiv_Ch_P78_NA P8-Indiv_Ch_P78_NA_Odd P8-Indiv_Ch_P78_NA_Even P8-Indiv_Ch_P78_AN P8-Indiv_Ch_P78_AN_Odd P8-Indiv_Ch_P78_AN_Even VEOG-Indiv_Ch_P78_NA VEOG-Indiv_Ch_P78_NA_Odd VEOG-Indiv_Ch_P78_NA_Even VEOG-Indiv_Ch_P78_AN VEOG-Indiv_Ch_P78_AN_Odd VEOG-Indiv_Ch_P78_AN_Even HEOG-Indiv_Ch_P78_NA HEOG-Indiv_Ch_P78_NA_Odd HEOG-Indiv_Ch_P78_NA_Even HEOG-Indiv_Ch_P78_AN HEOG-Indiv_Ch_P78_AN_Odd HEOG-Indiv_Ch_P78_AN_Even Ipsi_P78-Indiv_Ch_P78_NA Ipsi_P78-Indiv_Ch_P78_NA_Odd Ipsi_P78-Indiv_Ch_P78_NA_Even Ipsi_P78-Indiv_Ch_P78_AN Ipsi_P78-Indiv_Ch_P78_AN_Odd Ipsi_P78-Indiv_Ch_P78_AN_Even Contra_P78-Indiv_Ch_P78_NA Contra_P78-Indiv_Ch_P78_NA_Odd Contra_P78-Indiv_Ch_P78_NA_Even Contra_P78-Indiv_Ch_P78_AN Contra_P78-Indiv_Ch_P78_AN_Odd Contra_P78-Indiv_Ch_P78_AN_Even PO7-Indiv_Ch_P78_NA PO7-Indiv_Ch_P78_NA_Odd PO7-Indiv_Ch_P78_NA_Even PO7-Indiv_Ch_P78_AN PO7-Indiv_Ch_P78_AN_Odd PO7-Indiv_Ch_P78_AN_Even Contra_PO-Indiv_Ch_P78_NA Contra_PO-Indiv_Ch_P78_NA_Odd Contra_PO-Indiv_Ch_P78_NA_Even Contra_PO-Indiv_Ch_P78_AN Contra_PO-Indiv_Ch_P78_AN_Odd Contra_PO-Indiv_Ch_P78_AN_Even
102_Dot_Probe_Block1 -2.359042 -3.224361 -1.493724 -2.656354 -1.819468 -3.493239 -2.925262 -3.268401 -2.582122 -3.709766 -3.903768 -3.515767 1.236373 1.729985 0.742767 2.864357 3.488863 2.239852 -0.290750 0.284262 -0.865762 -0.258475 0.945300 -1.462252 -2.925262 -3.268401 -2.582122 -2.656354 -1.819468 -3.493239 -2.359042 -3.224361 -1.493724 -3.709766 -3.903768 -3.515767 -1.153810 -1.969334 -0.338285 -1.638421 -0.836599 -2.440243 -1.153810 -1.969334 -0.338285 ??? ??? ???
103_Dot_Probe_Block1 -2.360225 -1.942940 -2.777513 -0.718461 -1.047806 -0.389117 0.169776 1.316047 -0.976495 0.185097 0.270886 0.099307 -7.467840 -6.429798 -8.505885 -4.530331 -6.350704 -2.709972 -0.572381 -1.041135 -0.103629 2.987523 3.501992 2.473056 0.169776 1.316047 -0.976495 -0.718461 -1.047806 -0.389117 -2.360225 -1.942940 -2.777513 0.185097 0.270886 0.099307 -1.660455 -0.934645 -2.386267 -0.667917 -0.593018 -0.742816 -1.660455 -0.934645 -2.386267 ??? ??? ???
105_Dot_Probe_Block1 -1.844855 -2.228899 -1.460812 -1.236281 -1.580646 -0.891913 -2.451906 -2.649990 -2.253820 -2.825213 -2.680037 -2.970391 -5.005911 -4.583933 -5.427934 -4.089405 -2.970740 -5.208072 0.133115 0.024122 0.242107 -0.393871 0.186714 -0.974457 -2.451906 -2.649990 -2.253820 -1.236281 -1.580646 -0.891913 -1.844855 -2.228899 -1.460812 -2.825213 -2.680037 -2.970391 -1.567404 -1.842385 -1.292422 -1.106615 -0.760389 -1.452842 -1.567404 -1.842385 -1.292422 ??? ??? ???
106_Dot_Probe_Block1 -2.909536 -1.327722 -4.539287 -1.284268 -2.375214 -0.163018 2.019940 2.075902 1.962283 0.123949 -1.072720 1.353858 0.376836 1.303898 -0.578316 0.005473 -1.177392 1.221193 -1.246468 -1.249628 -1.243213 -0.182889 -0.333128 -0.028478 2.019940 2.075902 1.962283 -1.284268 -2.375214 -0.163018 -2.909536 -1.327722 -4.539287 0.123949 -1.072720 1.353858 -0.042763 1.035662 -1.153867 1.680979 0.976496 2.405031 -0.042763 1.035662 -1.153867 ??? ??? ???
107_Dot_Probe_Block1 0.265242 0.980276 -0.464093 1.203409 1.194085 1.212735 1.460455 1.769275 1.145458 1.011461 0.994785 1.028137 0.324560 2.054396 -1.439867 -1.670347 -1.901955 -1.438747 0.821651 1.790697 -0.166778 0.790998 0.805101 0.776898 1.460455 1.769275 1.145458 1.203409 1.194085 1.212735 0.265242 0.980276 -0.464093 1.011461 0.994785 1.028137 -0.761947 0.148016 -1.690108 0.029927 0.016784 0.043071 -0.761947 0.148016 -1.690108 ??? ??? ???
108_Dot_Probe_Block1 -3.618254 -4.109860 -3.126648 -2.943015 -3.355084 -2.530947 -2.139301 -2.060048 -2.218555 -2.058309 -2.486715 -1.629903 -1.170875 -1.001857 -1.339891 -0.193893 -0.927760 0.539972 -0.096328 -0.350501 0.157844 -0.093905 -0.094718 -0.093092 -2.139301 -2.060048 -2.218555 -2.943015 -3.355084 -2.530947 -3.618254 -4.109860 -3.126648 -2.058309 -2.486715 -1.629903 -4.895628 -5.303030 -4.488229 -4.276450 -4.758048 -3.794850 -4.895628 -5.303030 -4.488229 ??? ??? ???
109_Dot_Probe_Block1 -3.635519 -3.716201 -3.554838 -3.867259 -3.567408 -4.167109 0.330532 1.086486 -0.425423 -0.407805 -0.564063 -0.251547 -7.717988 -8.468216 -6.967776 -10.085761 -8.574237 -11.597305 -1.856333 -2.260298 -1.452366 -1.295404 -0.094914 -2.495894 0.330532 1.086486 -0.425423 -3.867259 -3.567408 -4.167109 -3.635519 -3.716201 -3.554838 -0.407805 -0.564063 -0.251547 -3.064519 -3.306943 -2.822094 -3.046486 -3.214238 -2.878736 -3.064519 -3.306943 -2.822094 ??? ??? ???
110_Dot_Probe_Block1 -0.607648 0.295039 -1.549581 -0.380207 -2.156842 1.396426 0.095859 -1.451920 1.710933 -2.241386 -1.557699 -2.925075 -2.096986 -4.257896 0.157878 -1.213052 -0.020276 -2.405825 -0.459766 0.250858 -1.201291 0.472909 -1.740143 2.685963 0.095859 -1.451920 1.710933 -0.380207 -2.156842 1.396426 -0.607648 0.295039 -1.549581 -2.241386 -1.557699 -2.925075 -0.772351 0.941027 -2.560221 0.293780 -0.541516 1.129076 -0.772351 0.941027 -2.560221 ??? ??? ???
111_Dot_Probe_Block1 -2.558414 -2.042605 -3.203174 0.582783 -0.377627 1.543193 -0.075068 0.552680 -0.859753 0.326439 0.962775 -0.309897 1.844531 3.013234 0.383663 -1.856421 1.090962 -4.803805 -0.069182 2.213748 -2.922846 -2.455345 -5.834996 0.924319 -0.075068 0.552680 -0.859753 0.582783 -0.377627 1.543193 -2.558414 -2.042605 -3.203174 0.326439 0.962775 -0.309897 -4.590524 -4.640251 -4.528368 -0.573773 -2.784846 1.637298 -4.590524 -4.640251 -4.528368 ??? ??? ???
112_Dot_Probe_Block1 -5.941369 -6.238201 -5.644538 -5.756320 -4.930385 -6.582257 -1.162541 -0.453481 -1.871599 -1.567827 -1.035438 -2.100217 -2.490702 -3.485309 -1.496098 -2.459634 -1.719069 -3.200203 -1.591186 -2.483267 -0.699107 -1.258216 -1.524423 -0.992009 -1.162541 -0.453481 -1.871599 -5.756320 -4.930385 -6.582257 -5.941369 -6.238201 -5.644538 -1.567827 -1.035438 -2.100217 -8.829351 -9.365123 -8.293579 -8.272416 -7.773233 -8.771599 -8.829351 -9.365123 -8.293579 ??? ??? ???
