Vp Diff_P78_NA Diff_P78_NA_Odd Diff_P78_NA_Even Diff_P78_AN Diff_P78_AN_Odd Diff_P78_AN_Even
102_Dot_Probe_Block2 -3.577712 -3.767613 -3.387815 0.923660 0.057397 1.789922
103_Dot_Probe_Block2 -1.322831 -0.894717 -1.750946 1.406291 1.426330 1.386253
104_Dot_Probe_Block2 1.819975 2.664705 0.922448 0.455056 1.007332 -0.134038
105_Dot_Probe_Block2 2.166753 2.498559 1.834942 -1.771489 -2.048209 -1.494771
106_Dot_Probe_Block2 -2.993427 -2.276592 -3.710263 0.953694 0.877113 1.032463
108_Dot_Probe_Block2 -3.299791 -3.119839 -3.479742 1.404151 1.677901 1.123381
109_Dot_Probe_Block2 -0.567486 0.357636 -1.534662 1.132362 1.219845 1.041236
110_Dot_Probe_Block2 0.469221 0.290954 0.655976 2.034096 1.338714 2.729479
112_Dot_Probe_Block2 -3.730547 -3.682006 -3.780479 2.375084 1.772139 2.978029
113_Dot_Probe_Block2 -0.337274 -0.679682 0.018831 -2.103812 -3.171787 -1.035839
114_Dot_Probe_Block2 1.202142 0.634560 1.784661 -1.118743 -1.306923 -0.930561
116_Dot_Probe_Block2 -0.365875 -0.532058 -0.194655 -2.102800 -1.767454 -2.448626
119_Dot_Probe_Block2 -0.132243 -0.164725 -0.099761 0.661368 0.835774 0.482115
121_Dot_Probe_Block2 -3.413118 -1.707967 -5.163140 1.579569 2.685954 0.473184
123_Dot_Probe_Block2 -3.015794 -2.945785 -3.085800 1.618544 1.582739 1.655318
124_Dot_Probe_Block2 1.343474 -0.429502 3.116446 7.067904 8.326025 5.390409
125_Dot_Probe_Block2 -3.595785 -3.058576 -4.154480 3.458160 4.542366 2.330583
127_Dot_Probe_Block2 -0.242105 -1.079259 0.595049 -1.580232 -1.175168 -1.998796
128_2_Dot_Probe_Block2 5.219351 5.192160 5.251070 -6.194319 -5.235501 -7.153141
129_Dot_Probe_Block2 -6.166444 -6.950375 -5.349851 6.613825 8.034657 5.118218
130_Dot_Probe_Block2 2.181629 1.535351 2.853757 -1.885278 -1.855189 -1.916525
133_Dot_Probe_Block2 -1.762964 -2.092612 -1.424159 1.733374 2.043893 1.422854
134_Dot_Probe_Block2 0.201492 1.243961 -0.875726 -0.290751 -2.813023 2.231522
135_Dot_Probe_Block2 -3.232661 -4.097525 -2.367796 0.707357 0.136384 1.308381
136_Dot_Probe_Block2 -0.059704 0.384411 -0.515821 -2.057563 -2.543658 -1.559005
137_Dot_Probe_Block2 -1.280275 -1.370002 -1.187830 1.990087 1.904866 2.075308
138_Dot_Probe_Block2 2.621185 5.096943 0.145427 -1.687456 -4.088526 0.898313
139_Dot_Probe_Block2 3.039082 0.844421 5.233742 -0.910413 -2.471696 0.650869
141_Dot_Probe_Block2 -9.121925 -10.617196 -7.626650 8.107868 9.037748 7.147992
142_Dot_Probe_Block2 1.030275 1.511263 0.549285 -3.146020 -3.412050 -2.879990
143_Dot_Probe_Block2 -3.032377 -2.596750 -3.468003 3.054123 2.252290 3.855958
144_Dot_Probe_Block2 -1.086375 -1.316031 -0.856718 -1.360809 -0.612489 -2.109128
145_Dot_Probe_Block2 -3.119840 -2.864902 -3.381315 1.753265 1.788289 1.718240
150_Dot_Probe_Block2 -1.017296 -1.754098 -0.280493 -0.375435 -0.950710 0.252138
151_Dot_Probe_Block2 -3.433200 -3.567281 -3.293024 2.621583 3.783290 1.459877
152_Dot_Probe_Block2 -2.602715 -2.730468 -2.474962 -0.183700 -0.695514 0.341947
153_Dot_Probe_Block2 3.191221 1.985451 4.396993 -1.143045 -0.767748 -1.612166
155_Dot_Probe_Block2 -6.092164 -8.809331 -3.374996 0.105411 -0.380005 0.608160
156_Dot_Probe_Block2 -2.315937 -1.692861 -2.964974 2.224096 3.417048 0.981440
158_Dot_Probe_Block2 -2.803254 -2.943023 -2.658308 0.444950 -1.220802 2.110701
159_Dot_Probe_Block2 -1.749920 -1.910058 -1.589783 1.273418 1.825790 0.700588
165_Dot_Probe_Block2 1.971543 0.417548 3.525538 -2.125164 -3.403779 -0.766635
166_Dot_Probe_Block2 -2.435544 -3.262761 -1.608325 1.412456 1.244568 1.580344
169_Dot_Probe_Block2 0.611058 1.583467 -0.436151 -1.526405 -2.187788 -0.865025
174_Dot_Probe_Block2 0.891356 0.347980 1.449416 -1.878491 -1.740208 -2.016773
198_Dot_Probe_Block2 -4.622442 -5.400439 -3.844444 2.757653 1.669950 3.845355
199_Dot_Probe_Block2 1.226170 0.381684 2.109041 -1.356054 -1.894866 -0.794791
213_Dot_Probe_Block2 -3.744328 -1.638208 -5.955752 2.861796 3.099281 2.624310
214_Dot_Probe_Block2 -0.490452 -0.415664 -0.565240 0.276857 1.009871 -0.476518
