Vp Diff_P78_NA Diff_P78_AN Diff_P78_NA_Odd Diff_P78_NA_Even Diff_P78_AN_Odd Diff_P78_AN_Even Contra_PO_Ipsi_PO-Diff_P78_NA Contra_PO_Ipsi_PO-Diff_P78_AN Contra_PO_Ipsi_PO-Diff_P78_NA_Odd Contra_PO_Ipsi_PO-Diff_P78_NA_Even Contra_PO_Ipsi_PO-Diff_P78_AN_Odd Contra_PO_Ipsi_PO-Diff_P78_AN_Even
102_Dot_Probe_Block2 -0.582835 -0.539328 -0.298033 -0.867637 -1.396803 0.318148 1.654856 -2.608253 ??? ??? ??? ???
103_Dot_Probe_Block2 -2.304378 2.068424 -2.344947 -2.263811 2.013277 2.123568 -2.684077 2.940776 ??? ??? ??? ???
104_Dot_Probe_Block2 0.840412 1.435499 1.893260 -0.278239 1.767182 1.081703 0.955374 0.341591 ??? ??? ??? ???
105_Dot_Probe_Block2 1.019206 -1.853686 1.098621 0.939788 -2.198744 -1.508632 1.699414 -1.885568 ??? ??? ??? ???
106_Dot_Probe_Block2 -2.647588 -0.502094 -1.749941 -3.545233 -0.070290 -0.946236 -0.829870 -2.307958 ??? ??? ??? ???
108_Dot_Probe_Block2 -1.096980 -0.893995 -1.139029 -1.054931 -0.671928 -1.121755 -3.202480 0.913105 ??? ??? ??? ???
109_Dot_Probe_Block2 -2.650078 4.106538 -1.674362 -3.670149 3.963448 4.255591 -2.492574 2.273647 ??? ??? ??? ???
110_Dot_Probe_Block2 2.935980 0.120843 3.694314 2.141534 0.796866 -0.555179 0.649493 0.258752 ??? ??? ??? ???
112_Dot_Probe_Block2 -5.315157 3.569333 -4.574461 -6.077019 4.087277 3.051393 -3.376487 2.243966 ??? ??? ??? ???
113_Dot_Probe_Block2 7.778705 -9.101917 6.917424 8.674431 -9.699072 -8.504772 8.801431 -10.867220 ??? ??? ??? ???
114_Dot_Probe_Block2 2.459250 -2.577143 2.214383 2.710559 -3.043245 -2.111042 3.951324 -3.929658 ??? ??? ??? ???
116_Dot_Probe_Block2 1.473164 -4.298278 0.876913 2.087485 -3.791723 -4.820659 2.224360 -4.579553 ??? ??? ??? ???
119_Dot_Probe_Block2 0.031662 0.490340 0.005417 0.057906 1.386671 -0.430891 0.604121 -0.082832 ??? ??? ??? ???
121_Dot_Probe_Block2 -0.204673 -2.281706 1.048373 -1.490692 -0.756773 -3.806638 -2.490020 0.186139 ??? ??? ??? ???
123_Dot_Probe_Block2 -1.741262 0.780701 -1.604723 -1.877803 0.626710 0.938854 -1.267705 0.184412 ??? ??? ??? ???
124_Dot_Probe_Block2 1.291563 0.752925 -0.089993 2.673117 2.742980 -1.900483 -0.597468 0.470228 ??? ??? ??? ???
125_Dot_Probe_Block2 -4.594893 4.989651 -4.557036 -4.634262 5.315298 4.650978 -3.934134 4.272577 ??? ??? ??? ???
127_Dot_Probe_Block2 0.467109 -0.918524 0.244052 0.690165 -0.215003 -1.645497 1.994285 -1.696098 ??? ??? ??? ???
128_2_Dot_Probe_Block2 0.345307 -1.547870 0.249863 0.456658 -2.279934 -0.815807 2.407856 -2.270444 ??? ??? ??? ???
129_Dot_Probe_Block2 0.299082 -0.550051 -0.269168 0.891008 1.777654 -3.000267 0.213069 0.509476 ??? ??? ??? ???
130_Dot_Probe_Block2 1.537057 -1.554600 0.899765 2.199840 -1.448502 -1.664777 0.846445 -0.820101 ??? ??? ??? ???
133_Dot_Probe_Block2 -2.717667 3.532451 -2.881830 -2.548940 4.094267 2.970637 -2.780119 3.700903 ??? ??? ??? ???
134_Dot_Probe_Block2 0.469635 0.066487 1.766935 -0.870910 -1.838660 1.971635 1.517576 -1.560062 ??? ??? ??? ???
135_Dot_Probe_Block2 -4.282882 2.247890 -3.954548 -4.611212 0.058169 4.552860 -2.869832 1.422244 ??? ??? ??? ???
136_Dot_Probe_Block2 0.936517 -2.668110 1.904356 -0.057479 -2.383561 -2.959955 2.229920 -3.224602 ??? ??? ??? ???
137_Dot_Probe_Block2 0.509399 -0.311587 0.618739 0.396747 -0.201623 -0.421552 0.195120 -0.018076 ??? ??? ??? ???
138_Dot_Probe_Block2 1.091507 -1.043138 3.565594 -1.382580 -3.025095 1.091275 4.986351 -4.211604 ??? ??? ??? ???
139_Dot_Probe_Block2 -1.585504 1.775852 -2.096443 -1.074567 1.433058 2.118647 -2.428292 2.755018 ??? ??? ??? ???
141_Dot_Probe_Block2 -6.639174 4.797223 -7.621722 -5.656626 6.123448 3.428216 -10.376370 9.013064 ??? ??? ??? ???
142_Dot_Probe_Block2 0.923809 -2.489976 1.494931 0.352687 -2.585398 -2.394554 -0.003871 -1.875762 ??? ??? ??? ???
143_Dot_Probe_Block2 2.502012 -3.235579 2.233461 2.770565 -4.395034 -2.076124 1.047707 -2.746073 ??? ??? ??? ???
144_Dot_Probe_Block2 0.587901 -3.630089 0.504101 0.671701 -3.550794 -3.709381 2.448330 -3.417918 ??? ??? ??? ???
145_Dot_Probe_Block2 0.566646 -1.217700 0.782887 0.344860 -0.952643 -1.482756 1.110950 -1.242874 ??? ??? ??? ???
150_Dot_Probe_Block2 -2.622692 0.741936 -2.370911 -2.874472 0.063253 1.482318 -2.590884 0.095523 ??? ??? ??? ???
151_Dot_Probe_Block2 -1.795877 1.085650 -1.835068 -1.754906 2.710571 -0.539271 -4.155120 3.147922 ??? ??? ??? ???
152_Dot_Probe_Block2 -1.206632 0.332517 -0.839268 -1.573995 0.391768 0.271664 -1.704526 0.856647 ??? ??? ??? ???
153_Dot_Probe_Block2 1.390334 0.187444 0.634352 2.146316 1.932091 -1.993364 2.335099 -1.669204 ??? ??? ??? ???
155_Dot_Probe_Block2 -0.352078 -4.078968 -3.295049 2.590894 -4.163401 -3.991519 1.846905 -7.223844 ??? ??? ??? ???
