Time;P7;P8;ipsiP78;contraP78
-99;-0,0807;-0,0036;-0,017;-0,0672
-97;-0,0721;-0,0061;-0,0161;-0,0621
-95;-0,064;-0,0094;-0,016;-0,0574
-93;-0,0567;-0,0133;-0,0167;-0,0533
-91;-0,0502;-0,0178;-0,0184;-0,0496
-89;-0,0447;-0,0225;-0,0209;-0,0463
-87;-0,0402;-0,0273;-0,0243;-0,0433
-85;-0,0368;-0,032;-0,0284;-0,0404
-83;-0,0342;-0,0361;-0,033;-0,0374
-81;-0,0326;-0,0395;-0,0378;-0,0342
-79;-0,0316;-0,0419;-0,0427;-0,0307
-77;-0,0312;-0,043;-0,0473;-0,0269
-75;-0,0313;-0,0428;-0,0514;-0,0228
-73;-0,0318;-0,0411;-0,0545;-0,0184
-71;-0,0324;-0,038;-0,0566;-0,0138
-69;-0,0331;-0,0336;-0,0574;-0,0093
-67;-0,0339;-0,028;-0,0568;-0,005
-65;-0,0345;-0,0214;-0,0549;-0,0011
-63;-0,0349;-0,0143;-0,0516;0,0024
-61;-0,0349;-0,0068;-0,047;0,0053
-59;-0,0345;0,0008;-0,0413;0,0075
-57;-0,0335;0,0081;-0,0346;0,0093
-55;-0,0317;0,015;-0,0272;0,0105
-53;-0,029;0,0213;-0,0191;0,0115
-51;-0,0254;0,0269;-0,0108;0,0123
-49;-0,0209;0,0316;-0,0023;0,0131
-47;-0,0154;0,0354;0,006;0,014
-45;-0,0091;0,0382;0,014;0,0151
-43;-0,0022;0,0402;0,0215;0,0164
-41;0,0051;0,0412;0,0283;0,018
-39;0,0126;0,0415;0,0344;0,0197
-37;0,0201;0,041;0,0396;0,0214
-35;0,0273;0,0399;0,0441;0,0231
-33;0,034;0,0382;0,0477;0,0245
-31;0,0401;0,0361;0,0505;0,0257
-29;0,0455;0,0336;0,0526;0,0265
-27;0,0501;0,0307;0,0539;0,0269
-25;0,0539;0,0275;0,0547;0,0268
-23;0,0569;0,024;0,0547;0,0262
-21;0,0592;0,0201;0,054;0,0253
-19;0,0609;0,0159;0,0526;0,0242
-17;0,0621;0,0112;0,0504;0,023
-15;0,0629;0,0063;0,0473;0,0219
-13;0,0634;0,001;0,0433;0,0211
-11;0,0638;-0,0045;0,0385;0,0207
-9;0,0642;-0,0102;0,0329;0,0211
-7;0,0645;-0,0157;0,0265;0,0223
-5;0,065;-0,021;0,0196;0,0244
-3;0,0656;-0,0258;0,0124;0,0274
-1;0,0663;-0,0299;0,0049;0,0315
1;0,0671;-0,0331;-0,0025;0,0365
3;0,068;-0,035;-0,0096;0,0425
5;0,0688;-0,0356;-0,0161;0,0493
7;0,0696;-0,0347;-0,022;0,0569
9;0,0702;-0,0323;-0,0271;0,065
11;0,0706;-0,0284;-0,0312;0,0734
13;0,0707;-0,0232;-0,0343;0,0818
15;0,0705;-0,017;-0,0365;0,09
17;0,0698;-0,01;-0,0379;0,0978
19;0,0687;-0,0026;-0,0386;0,1047
21;0,067;0,0049;-0,0386;0,1106
23;0,0648;0,0121;-0,0382;0,1152
25;0,0622;0,0187;-0,0374;0,1183
27;0,0593;0,0244;-0,0363;0,1199
29;0,056;0,0289;-0,035;0,1199
31;0,0527;0,0322;-0,0334;0,1183
33;0,0494;0,0341;-0,0316;0,1151
35;0,0461;0,0347;-0,0296;0,1104
37;0,0431;0,0339;-0,0273;0,1044
39;0,0404;0,0321;-0,0247;0,0972
41;0,038;0,0294;-0,0218;0,0892
43;0,0359;0,026;-0,0186;0,0805
45;0,0342;0,0223;-0,015;0,0716
47;0,0329;0,0186;-0,0111;0,0627
49;0,032;0,0153;-0,007;0,0542
51;0,0314;0,0125;-0,0027;0,0465
53;0,0311;0,0105;0,0018;0,0397
55;0,0311;0,0094;0,0064;0,0342
57;0,0315;0,0094;0,011;0,0299
59;0,0322;0,0105;0,0156;0,0271
61;0,0333;0,0125;0,02;0,0258
63;0,0349;0,0153;0,0245;0,0258
65;0,037;0,0188;0,0288;0,0271
67;0,0397;0,0228;0,0331;0,0295
69;0,043;0,0271;0,0374;0,0328
71;0,047;0,0313;0,0417;0,0367
73;0,0515;0,0354;0,046;0,0409
75;0,0564;0,039;0,0503;0,0451
77;0,0617;0,0419;0,0546;0,049
79;0,0671;0,044;0,0588;0,0523
81;0,0725;0,0452;0,0629;0,0548
83;0,0776;0,0453;0,0665;0,0563
85;0,0824;0,0443;0,0697;0,0569
87;0,0867;0,0422;0,0723;0,0565
89;0,0904;0,0392;0,0742;0,0554
91;0,0937;0,0354;0,0754;0,0537
93;0,0967;0,0311;0,0758;0,052
95;0,0995;0,0268;0,0757;0,0505
97;0,1025;0,0231;0,0755;0,05
99;0,1061;0,0206;0,0756;0,0512
