Vp Contra_C_Ipsi_C-Diff_all_NA Contra_C_Ipsi_C-Diff_all_NA_Odd Contra_C_Ipsi_C-Diff_all_NA_Even Contra_C_Ipsi_C-Diff_all_AN Contra_C_Ipsi_C-Diff_all_AN_Odd Contra_C_Ipsi_C-Diff_all_AN_Even Contra_CP12_Ipsi_CP12-Diff_all_NA Contra_CP12_Ipsi_CP12-Diff_all_NA_Odd Contra_CP12_Ipsi_CP12-Diff_all_NA_Even Contra_CP12_Ipsi_CP12-Diff_all_AN Contra_CP12_Ipsi_CP12-Diff_all_AN_Odd Contra_CP12_Ipsi_CP12-Diff_all_AN_Even Contra_CP56_Ipsi_CP56-Diff_all_NA Contra_CP56_Ipsi_CP56-Diff_all_NA_Odd Contra_CP56_Ipsi_CP56-Diff_all_NA_Even Contra_CP56_Ipsi_CP56-Diff_all_AN Contra_CP56_Ipsi_CP56-Diff_all_AN_Odd Contra_CP56_Ipsi_CP56-Diff_all_AN_Even Contra_F34_Ipsi_F34-Diff_all_NA Contra_F34_Ipsi_F34-Diff_all_NA_Odd Contra_F34_Ipsi_F34-Diff_all_NA_Even Contra_F34_Ipsi_F34-Diff_all_AN Contra_F34_Ipsi_F34-Diff_all_AN_Odd Contra_F34_Ipsi_F34-Diff_all_AN_Even Contra_F78_Ipsi_F78-Diff_all_NA Contra_F78_Ipsi_F78-Diff_all_NA_Odd Contra_F78_Ipsi_F78-Diff_all_NA_Even Contra_F78_Ipsi_F78-Diff_all_AN Contra_F78_Ipsi_F78-Diff_all_AN_Odd Contra_F78_Ipsi_F78-Diff_all_AN_Even Contra_FC12_Ipsi_FC12-Diff_all_NA Contra_FC12_Ipsi_FC12-Diff_all_NA_Odd Contra_FC12_Ipsi_FC12-Diff_all_NA_Even Contra_FC12_Ipsi_FC12-Diff_all_AN Contra_FC12_Ipsi_FC12-Diff_all_AN_Odd Contra_FC12_Ipsi_FC12-Diff_all_AN_Even Contra_FC56_Ipsi_FC56-Diff_all_NA Contra_FC56_Ipsi_FC56-Diff_all_NA_Odd Contra_FC56_Ipsi_FC56-Diff_all_NA_Even Contra_FC56_Ipsi_FC56-Diff_all_AN Contra_FC56_Ipsi_FC56-Diff_all_AN_Odd Contra_FC56_Ipsi_FC56-Diff_all_AN_Even Contra_FT_Ipsi_FT-Diff_all_NA Contra_FT_Ipsi_FT-Diff_all_NA_Odd Contra_FT_Ipsi_FT-Diff_all_NA_Even Contra_FT_Ipsi_FT-Diff_all_AN Contra_FT_Ipsi_FT-Diff_all_AN_Odd Contra_FT_Ipsi_FT-Diff_all_AN_Even Contra_O_Ipsi_O-Diff_all_NA Contra_O_Ipsi_O-Diff_all_NA_Odd Contra_O_Ipsi_O-Diff_all_NA_Even Contra_O_Ipsi_O-Diff_all_AN Contra_O_Ipsi_O-Diff_all_AN_Odd Contra_O_Ipsi_O-Diff_all_AN_Even Contra_P34_Ipsi_P34-Diff_all_NA Contra_P34_Ipsi_P34-Diff_all_NA_Odd Contra_P34_Ipsi_P34-Diff_all_NA_Even Contra_P34_Ipsi_P34-Diff_all_AN Contra_P34_Ipsi_P34-Diff_all_AN_Odd Contra_P34_Ipsi_P34-Diff_all_AN_Even Contra_P78_Ipsi_P78-Diff_all_NA Contra_P78_Ipsi_P78-Diff_all_NA_Odd Contra_P78_Ipsi_P78-Diff_all_NA_Even Contra_P78_Ipsi_P78-Diff_all_AN Contra_P78_Ipsi_P78-Diff_all_AN_Odd Contra_P78_Ipsi_P78-Diff_all_AN_Even Contra_T_Ipsi_T-Diff_all_NA Contra_T_Ipsi_T-Diff_all_NA_Odd Contra_T_Ipsi_T-Diff_all_NA_Even Contra_T_Ipsi_T-Diff_all_AN Contra_T_Ipsi_T-Diff_all_AN_Odd Contra_T_Ipsi_T-Diff_all_AN_Even Contra_TP_Ipsi_TP-Diff_all_NA Contra_TP_Ipsi_TP-Diff_all_NA_Odd Contra_TP_Ipsi_TP-Diff_all_NA_Even Contra_TP_Ipsi_TP-Diff_all_AN Contra_TP_Ipsi_TP-Diff_all_AN_Odd Contra_TP_Ipsi_TP-Diff_all_AN_Even Contra_PO_Ipsi_PO-Diff_all_NA Contra_PO_Ipsi_PO-Diff_all_NA_Odd Contra_PO_Ipsi_PO-Diff_all_NA_Even Contra_PO_Ipsi_PO-Diff_all_AN Contra_PO_Ipsi_PO-Diff_all_AN_Odd Contra_PO_Ipsi_PO-Diff_all_AN_Even 

102_Dot_Probe_Block1 -0.146434 -0.356968 0.064100 0.615234 0.420772 0.809696 -0.157840 -0.035313 -0.280367 0.357691 0.484819 0.230563 0.261552 -0.197675 0.720779 0.284074 -0.295606 0.863754 0.549833 -0.370616 1.470281 0.588782 0.209746 0.967817 0.762525 0.681914 0.843136 0.024425 -0.990294 1.039144 0.083235 -0.415514 0.581984 0.468903 0.365238 0.572568 0.295143 0.045998 0.544287 0.213974 -0.251527 0.679474 0.455155 0.775801 0.134509 -0.485427 -0.604692 -0.366162 0.346119 0.019679 0.672559 -0.774683 -1.668301 0.118935 1.166888 1.469279 0.864496 -0.948009 -1.485034 -0.410985 -2.398818 -3.302912 -1.494726 2.072618 1.580202 2.565035 1.407843 1.189397 1.626289 -0.555747 -0.830694 -0.280798 0.241971 0.028433 0.455509 0.433898 0.237372 0.630424 -1.213363 ??? ??? 0.553079 ??? ???
103_Dot_Probe_Block1 0.845038 0.495091 1.194984 -1.968666 -2.669417 -1.267915 0.153735 -0.300140 0.607610 -0.566068 -0.722769 -0.409365 -0.649271 -2.108303 0.809761 -0.499309 -0.554542 -0.444076 0.709459 0.468383 0.950534 -2.770446 -3.682522 -1.858371 0.159271 -0.027511 0.346054 -2.300903 -2.206419 -2.395386 0.391001 0.197641 0.584361 -1.185526 -1.348050 -1.023002 0.508592 0.096105 0.921079 -2.677518 -2.941643 -2.413393 0.245629 -1.481694 1.972951 -2.904168 -3.917196 -1.891139 -1.012976 -1.408603 -0.617347 1.190603 1.432488 0.948719 -0.557138 -1.149688 0.035414 0.634281 0.634546 0.634017 -1.411599 -2.678769 -0.144429 0.125719 0.524204 -0.272765 -0.308530 -1.641971 1.024912 -1.678208 -1.724296 -1.632118 -2.193393 -3.999340 -0.387447 -1.995710 -2.286315 -1.705105 -1.618782 ??? ??? 1.722370 ??? ???
105_Dot_Probe_Block1 1.390003 2.174244 0.605762 -0.919001 -1.482573 -0.355428 0.760026 1.154424 0.365627 -0.445863 -1.155838 0.264111 1.022501 1.669402 0.375600 -0.819921 -1.076817 -0.563025 -0.498460 -0.420048 -0.576874 0.174118 0.108262 0.239975 -1.085354 -0.585583 -1.585124 0.561195 0.858533 0.263858 0.245715 0.380934 0.110491 -0.091956 -0.034876 -0.149038 -0.053907 0.634863 -0.742677 0.155651 0.169706 0.141594 0.107168 0.562664 -0.348329 -0.011558 0.012754 -0.035868 0.611243 1.265665 -0.043182 -0.600481 -0.700619 -0.500345 1.154949 1.796476 0.513422 -0.903352 -1.128415 -0.678288 0.992159 1.370736 0.613582 -1.685443 -1.520257 -1.850633 0.784538 1.330718 0.238356 -0.505266 -0.069349 -0.941184 -0.379247 -0.097542 -0.660950 -0.217129 0.255905 -0.690164 0.898062 ??? ??? -1.062409 ??? ???
106_Dot_Probe_Block1 -1.503023 -0.603840 -2.429454 1.487639 1.850001 1.115213 -1.560066 -0.771878 -2.372138 1.377639 1.923920 0.816185 -3.027777 -1.744915 -4.349514 2.110927 2.383448 1.830837 0.780326 1.637768 -0.103099 -0.791937 -0.392100 -1.202880 -1.114731 0.209342 -2.478926 0.717874 0.525295 0.915803 0.587659 0.867877 0.298950 -1.015321 -0.735782 -1.302625 -0.233501 1.331394 -1.845817 0.825061 1.151879 0.489165 -0.334544 1.048795 -1.759804 -0.579763 -0.676316 -0.480528 -2.798401 -2.471282 -3.135434 1.849277 2.448458 1.233453 -5.340984 -4.723264 -5.977424 4.062521 4.361715 3.755017 -5.250805 -4.101337 -6.435104 2.094437 2.110593 2.077832 -0.681607 1.100361 -2.517574 0.573306 0.793150 0.347355 -2.699491 -1.484752 -3.951038 0.788523 0.386221 1.202000 -4.941053 ??? ??? 1.497896 ??? ???
107_Dot_Probe_Block1 -0.688849 -1.358052 -0.006261 0.263162 0.250569 0.275755 -0.532068 -0.505963 -0.558695 0.070487 0.068106 0.072867 -0.208567 -0.108897 -0.310229 -0.148591 -0.159886 -0.137296 -2.079482 -2.486133 -1.664697 0.529614 0.519090 0.540137 -0.721024 -1.312655 -0.117555 -0.473974 -0.487962 -0.459984 -0.951497 -1.591579 -0.298614 0.749760 0.732362 0.767158 -1.501225 -2.221343 -0.766703 0.560774 0.580391 0.541157 0.436725 0.000370 0.881807 -0.659844 -0.679044 -0.640643 -1.343868 -1.182137 -1.508835 -0.389926 -0.392156 -0.387696 -0.678468 -0.480709 -0.880182 0.242076 0.239888 0.244264 -1.298367 -1.179934 -1.419168 0.093115 0.082875 0.103355 -0.755251 -1.063044 -0.441303 0.000158 -0.011223 0.011539 -0.996405 -0.631676 -1.368428 -0.413631 -0.428978 -0.398284 -0.552784 ??? ??? -0.971517 ??? ???
108_Dot_Probe_Block1 0.677397 0.056522 1.298272 -1.054652 -0.555962 -1.553342 0.746115 0.213790 1.278439 -0.751643 -0.682502 -0.820785 -0.497300 -1.366185 0.371585 0.406467 0.893527 -0.080591 0.073227 -0.059526 0.205979 -1.282214 -0.793880 -1.770548 -0.969426 -1.702755 -0.236098 0.274421 0.802761 -0.253921 -0.359925 -0.093184 -0.626665 -1.729399 -1.852982 -1.605816 -0.573110 -1.257940 0.111721 0.295289 1.063230 -0.472651 -0.567651 -1.069894 -0.065406 -0.110020 0.460412 -0.680452 -0.923145 -0.882712 -0.963580 0.527214 0.686255 0.368174 0.342060 0.175437 0.508685 -0.867516 -0.628142 -1.106889 -3.188150 -3.406834 -2.969468 2.406012 2.723888 2.088137 -1.336329 -2.242316 -0.430340 0.613337 1.397855 -0.171180 -1.633660 -2.317147 -0.950172 1.386361 1.564067 1.208655 -3.759650 ??? ??? 3.008093 ??? ???
109_Dot_Probe_Block1 -2.391548 -2.160736 -2.622360 1.057555 -0.225954 2.341063 -1.262487 -1.457768 -1.067208 0.427391 -0.177434 1.032215 -1.982139 -2.192520 -1.771757 0.973834 -0.568599 2.516266 -2.175309 -2.565849 -1.784768 2.909418 1.888484 3.930349 -2.515873 -2.453731 -2.578011 2.421471 1.665816 3.177125 -0.910696 -0.934178 -0.887214 0.724071 0.323537 1.124605 -1.986850 -2.306199 -1.667502 1.198220 -0.403041 2.799484 -1.790278 -2.686284 -0.894271 1.040640 -1.012962 3.094241 -0.097655 -0.010098 -0.185216 0.080096 0.215575 -0.055382 -2.261417 -2.301885 -2.220950 2.883218 2.678807 3.087630 -2.241265 -2.908011 -1.574519 1.252250 0.626213 1.878286 -1.067906 -1.453567 -0.682246 -0.111053 -1.872098 1.649988 -0.854239 -1.862374 0.153898 0.731099 -0.218654 1.680851 -2.564193 ??? ??? 1.155013 ??? ???
110_Dot_Probe_Block1 -1.924420 0.729372 -4.693593 -0.761053 -0.412671 -1.109436 -1.022758 0.974612 -3.106970 0.499047 0.863283 0.134811 -1.290308 0.179822 -2.824356 -0.948644 -0.094344 -1.802943 -1.435930 -0.623497 -2.283685 0.086964 1.100132 -0.926206 -1.277812 -0.625240 -1.958756 0.384036 2.050557 -1.282484 -0.728854 0.513591 -2.025318 0.022973 -0.006937 0.052884 -1.641704 0.044991 -3.401733 -0.335445 1.781314 -2.452204 -0.293922 0.460048 -1.080673 -0.306428 0.936291 -1.549145 -1.565304 0.573133 -3.796717 -0.128722 -0.205371 -0.052071 -0.433477 1.736050 -2.697331 -1.272756 -1.149477 -1.396035 -2.208669 -0.084027 -4.425688 -0.114673 2.948980 -3.178327 -2.134910 -0.464969 -3.877457 0.897043 3.013701 -1.219617 -2.958385 -0.927733 -5.077322 0.240854 1.419934 -0.938227 -1.584999 ??? ??? -0.087842 ??? ???
111_Dot_Probe_Block1 -0.289092 -0.547892 0.034408 -0.952210 1.594663 -3.499083 -0.581687 -0.685975 -0.451328 0.469758 1.408867 -0.469350 -0.353505 -0.160473 -0.594796 -1.130208 0.835798 -3.096213 0.561701 -0.155952 1.458770 -1.366653 1.468637 -4.201944 0.855252 0.865476 0.842473 -2.950634 0.891607 -6.792874 0.461298 -0.124338 1.193343 0.449885 2.185518 -1.285747 -0.191404 -1.126005 0.976847 -1.731419 1.163426 -4.626264 -0.189786 0.121479 -0.578868 1.058061 6.134097 -4.017973 0.250761 0.564686 -0.141647 -2.333440 -2.271585 -2.395298 -0.037096 0.453273 -0.650055 -0.076037 1.519276 -1.671351 -0.822821 0.275121 -2.195249 -1.560386 0.083469 -3.204240 -0.559731 -0.809620 -0.247369 -2.575810 -0.145057 -5.006560 -0.260434 0.311914 -0.975870 -2.194862 -0.041564 -4.348158 -0.967664 ??? ??? -1.506562 ??? ???
