Time;N2pc_AN_1;N2pc_NA_1
-99;0,025;-0,1216
-97;0,0179;-0,1095
-95;0,011;-0,0967
-93;0,0045;-0,0834
-91;-0,0013;-0,0697
-89;-0,0058;-0,0557
-87;-0,0087;-0,0416
-85;-0,0098;-0,0276
-83;-0,0088;-0,014
-81;-0,0056;-0,0011
-79;-0,0002;0,0107
-77;0,0071;0,021
-75;0,016;0,0294
-73;0,0262;0,0356
-71;0,037;0,0392
-69;0,048;0,04
-67;0,0585;0,0382
-65;0,068;0,0337
-63;0,0759;0,0268
-61;0,0819;0,0181
-59;0,0855;0,0079
-57;0,0867;-0,0029
-55;0,0854;-0,0137
-53;0,0817;-0,0238
-51;0,0758;-0,0325
-49;0,068;-0,0394
-47;0,0586;-0,0441
-45;0,0481;-0,0463
-43;0,0369;-0,046
-41;0,0253;-0,0434
-39;0,0137;-0,0387
-37;0,0024;-0,0325
-35;-0,0085;-0,0252
-33;-0,0187;-0,0173
-31;-0,0283;-0,0093
-29;-0,0372;-0,0015
-27;-0,0454;0,0058
-25;-0,053;0,0125
-23;-0,0599;0,0185
-21;-0,0662;0,0241
-19;-0,0718;0,0296
-17;-0,0766;0,0353
-15;-0,0804;0,0416
-13;-0,0831;0,0488
-11;-0,0845;0,0574
-9;-0,0845;0,0673
-7;-0,083;0,0788
-5;-0,0799;0,0916
-3;-0,0751;0,1055
-1;-0,0686;0,1202
1;-0,0603;0,1352
3;-0,0503;0,1499
5;-0,0387;0,164
7;-0,0257;0,1768
9;-0,0114;0,188
11;0,0039;0,1973
13;0,0198;0,2043
15;0,036;0,2089
17;0,052;0,2112
19;0,0674;0,2113
21;0,0818;0,2092
23;0,0948;0,2052
25;0,106;0,1996
27;0,1151;0,1927
29;0,1218;0,1847
31;0,1258;0,1761
33;0,1269;0,1669
35;0,1252;0,1573
37;0,1207;0,1474
39;0,1136;0,1374
41;0,1042;0,1272
43;0,0929;0,1169
45;0,0803;0,1065
47;0,067;0,0961
49;0,0535;0,0857
51;0,0405;0,0754
53;0,0284;0,0653
55;0,0177;0,0555
57;0,0086;0,0462
59;0,0012;0,0377
61;-0,0045;0,0301
63;-0,0087;0,0235
65;-0,0118;0,0183
67;-0,014;0,0145
69;-0,0159;0,0121
71;-0,0179;0,0111
73;-0,0204;0,0114
75;-0,0238;0,0129
77;-0,0283;0,0152
79;-0,034;0,0182
81;-0,041;0,0216
83;-0,0492;0,0254
85;-0,0584;0,0294
87;-0,0682;0,0337
89;-0,0783;0,0384
91;-0,0882;0,0435
93;-0,0974;0,0491
95;-0,1055;0,0553
97;-0,1121;0,0621
99;-0,1166;0,0693
101;-0,1186;0,0768
103;-0,1179;0,0841
105;-0,1142;0,0906
107;-0,1073;0,0956
109;-0,0971;0,0981
111;-0,0836;0,0973
113;-0,0669;0,092
115;-0,0472;0,0812
117;-0,0246;0,0641
119;0,0009;0,0398
121;0,0291;0,0078
123;0,0602;-0,0323
125;0,0943;-0,0805
127;0,1317;-0,1365
129;0,1728;-0,1998
131;0,2181;-0,2698
133;0,268;-0,3455
135;0,3233;-0,4259
137;0,3844;-0,5099
139;0,4518;-0,5962
141;0,5256;-0,6837
143;0,6057;-0,7711
145;0,6919;-0,8571
147;0,7832;-0,9406
149;0,8784;-1,0203
151;0,9757;-1,0949
153;1,0728;-1,1633
155;1,1673;-1,2242
157;1,2562;-1,2765
159;1,3365;-1,3188
161;1,4053;-1,35
163;1,4595;-1,3691
165;1,4968;-1,375
167;1,5149;-1,3668
169;1,5122;-1,3439
171;1,4878;-1,3059
173;1,4414;-1,253
175;1,3733;-1,1854
177;1,2847;-1,104
179;1,177;-1,01
181;1,0525;-0,9052
183;0,9138;-0,7914
185;0,7637;-0,6708
187;0,6053;-0,5461
189;0,4418;-0,4195
191;0,2761;-0,2937
193;0,1113;-0,171
195;-0,05;-0,0538
197;-0,2053;0,0559
199;-0,3524;0,1562
201;-0,4894;0,2455
203;-0,6148;0,3224
205;-0,7271;0,3858
207;-0,8253;0,4349
209;-0,9086;0,4691
211;-0,9762;0,4883
213;-1,0277;0,4923
215;-1,0628;0,4814
217;-1,0814;0,4561
219;-1,0835;0,4171
221;-1,0693;0,3654
223;-1,0393;0,302
225;-0,9942;0,2282
227;-0,9349;0,1454
229;-0,8625;0,0551
231;-0,7786;-0,0413
233;-0,6847;-0,1421
235;-0,5828;-0,2458
237;-0,4748;-0,3511
239;-0,3627;-0,4564
241;-0,2485;-0,5603
243;-0,1344;-0,6618
245;-0,0219;-0,7595
247;0,0871;-0,8526
249;0,1914;-0,9401
251;0,2898;-1,0212
253;0,3815;-1,0954
255;0,4658;-1,1622
257;0,5425;-1,2211
259;0,6115;-1,2719
261;0,6728;-1,3144
263;0,7268;-1,3486
265;0,7739;-1,3746
267;0,8146;-1,3926
269;0,8494;-1,4029
271;0,8789;-1,4062
273;0,9037;-1,4031
275;0,9243;-1,3945
277;0,9411;-1,3812
279;0,9546;-1,3643
281;0,9651;-1,3447
283;0,973;-1,3237
285;0,9785;-1,3021
287;0,9818;-1,2809
289;0,9829;-1,2611
291;0,9821;-1,2436
293;0,9793;-1,2289
295;0,9747;-1,2178
297;0,9685;-1,2108
299;0,9607;-1,2083
301;0,9516;-1,2106
303;0,9416;-1,218
305;0,9309;-1,2305
307;0,9199;-1,2482
309;0,909;-1,271
311;0,8987;-1,2986
313;0,8894;-1,3308
315;0,8816;-1,3671
317;0,8755;-1,4072
319;0,8715;-1,4503
321;0,87;-1,496
323;0,871;-1,5434
325;0,8746;-1,592
327;0,881;-1,641
329;0,89;-1,6897
331;0,9016;-1,7375
333;0,9155;-1,7839
335;0,9315;-1,8284
337;0,9494;-1,8704
339;0,9687;-1,9096
341;0,9894;-1,9456
343;1,011;-1,978
345;1,0333;-2,0065
347;1,056;-2,0307
349;1,0791;-2,0505
351;1,1023;-2,0655
353;1,1256;-2,0756
355;1,1489;-2,081
357;1,1721;-2,0815
359;1,1952;-2,0775
361;1,2183;-2,0692
363;1,2414;-2,0572
365;1,2646;-2,0419
367;1,288;-2,0238
369;1,3117;-2,0037
371;1,3359;-1,982
373;1,3606;-1,9596
375;1,386;-1,9369
377;1,4122;-1,9146
379;1,4392;-1,8932
381;1,4671;-1,8734
383;1,4957;-1,8554
385;1,525;-1,8398
387;1,5547;-1,8268
389;1,5846;-1,8167
391;1,6142;-1,8094
393;1,6431;-1,8052
395;1,6711;-1,8038
397;1,6975;-1,805
399;1,722;-1,8086
401;1,7444;-1,8142
403;1,7644;-1,8213
405;1,7819;-1,8294
407;1,7969;-1,838
409;1,8095;-1,8468
411;1,8197;-1,8553
413;1,8279;-1,8632
415;1,8342;-1,8704
417;1,839;-1,8768
419;1,8426;-1,8822
421;1,8453;-1,8866
423;1,8473;-1,8901
425;1,8489;-1,8926
427;1,8503;-1,8942
429;1,8516;-1,8946
431;1,8529;-1,8941
433;1,8543;-1,8924
435;1,8558;-1,8896
437;1,8573;-1,8857
439;1,8587;-1,8808
441;1,86;-1,875
443;1,861;-1,8684
445;1,8618;-1,8612
447;1,8623;-1,8537
449;1,8624;-1,8459
451;1,8621;-1,8379
453;1,8614;-1,8299
455;1,8603;-1,8217
457;1,8587;-1,8133
459;1,8565;-1,8045
461;1,8538;-1,795
463;1,8503;-1,7845
465;1,8459;-1,7728
467;1,8406;-1,7596
469;1,8342;-1,7448
471;1,8266;-1,7281
473;1,8176;-1,7096
475;1,807;-1,6894
477;1,7947;-1,6676
479;1,7806;-1,6444
481;1,7644;-1,6201
483;1,7459;-1,5951
485;1,7252;-1,5695
487;1,7021;-1,5437
489;1,6765;-1,518
491;1,6485;-1,4927
493;1,6181;-1,4678
495;1,5855;-1,4437
497;1,5507;-1,4203
499;1,514;-1,3979
