Time;P7_AN;P8_AN;P7_NA;P8_NA
-99;-0,0498;-0,0264;-0,1015;0,023
-97;-0,0403;-0,0229;-0,0991;0,0155
-95;-0,0323;-0,0212;-0,0954;0,008
-93;-0,0261;-0,0212;-0,0904;0,0008
-91;-0,0219;-0,0229;-0,084;-0,0058
-89;-0,0201;-0,0259;-0,0763;-0,0116
-87;-0,0206;-0,03;-0,0674;-0,0165
-85;-0,0234;-0,0346;-0,0575;-0,0203
-83;-0,0283;-0,0392;-0,0468;-0,0231
-81;-0,0349;-0,0432;-0,0357;-0,0248
-79;-0,0428;-0,0461;-0,0247;-0,0254
-77;-0,0513;-0,0474;-0,0141;-0,0251
-75;-0,0601;-0,0468;-0,0044;-0,0238
-73;-0,0683;-0,044;0,0039;-0,0218
-71;-0,0757;-0,039;0,0103;-0,0192
-69;-0,0815;-0,0319;0,0147;-0,0161
-67;-0,0856;-0,023;0,0167;-0,0127
-65;-0,0875;-0,0125;0,0163;-0,009
-63;-0,0871;-0,001;0,0137;-0,0053
-61;-0,0844;0,0111;0,0093;-0,0015
-59;-0,0795;0,0232;0,0033;0,0022
-57;-0,0724;0,0348;-0,0034;0,0057
-55;-0,0636;0,0455;-0,0105;0,0092
-53;-0,0531;0,0548;-0,0171;0,0125
-51;-0,0415;0,0627;-0,0227;0,0157
-49;-0,0291;0,0687;-0,0267;0,0187
-47;-0,0164;0,0727;-0,0288;0,0215
-45;-0,0037;0,0748;-0,0288;0,0241
-43;0,0085;0,0748;-0,0265;0,0265
-41;0,02;0,0729;-0,0222;0,0285
-39;0,0304;0,0692;-0,0159;0,0301
-37;0,0396;0,0639;-0,0082;0,0312
-35;0,0475;0,0572;0,0006;0,0319
-33;0,0542;0,0493;0,01;0,0321
-31;0,0597;0,0406;0,0196;0,0316
-29;0,0642;0,0314;0,0289;0,0305
-27;0,0679;0,0218;0,0375;0,0288
-25;0,0709;0,012;0,0451;0,0264
-23;0,0733;0,0024;0,0516;0,0232
-21;0,0752;-0,0069;0,0569;0,0192
-19;0,0768;-0,0158;0,0609;0,0142
-17;0,078;-0,0239;0,0638;0,0084
-15;0,0788;-0,031;0,0657;0,0015
-13;0,0792;-0,0369;0,0669;-0,0065
-11;0,0792;-0,0413;0,0675;-0,0154
-9;0,0787;-0,0441;0,0679;-0,0253
-7;0,0777;-0,045;0,0682;-0,036
-5;0,0762;-0,0439;0,0687;-0,0472
-3;0,0741;-0,0407;0,0694;-0,0586
-1;0,0714;-0,0353;0,0704;-0,0701
1;0,0683;-0,0277;0,0718;-0,0811
3;0,0646;-0,0181;0,0736;-0,0913
5;0,0605;-0,0065;0,0759;-0,1004
7;0,0561;0,0069;0,0785;-0,108
9;0,0513;0,0216;0,0813;-0,1139
11;0,0462;0,0374;0,0845;-0,1179
13;0,0408;0,0537;0,0877;-0,1197
15;0,035;0,07;0,0911;-0,1194
